date,store,product,series_id,day_index,weekday,is_promo,demand
2024-01-01,S1,P1,S1_P1,0,0,False,79
2024-01-02,S1,P1,S1_P1,1,1,False,204
2024-01-03,S1,P1,S1_P1,2,2,False,78
2024-01-04,S1,P1,S1_P1,3,3,True,131
2024-01-05,S1,P1,S1_P1,4,4,False,221
2024-01-06,S1,P1,S1_P1,5,5,False,157
2024-01-07,S1,P1,S1_P1,6,6,False,157
2024-01-08,S1,P1,S1_P1,7,0,False,131
2024-01-09,S1,P1,S1_P1,8,1,False,117
2024-01-10,S1,P1,S1_P1,9,2,False,137
2024-01-11,S1,P1,S1_P1,10,3,False,225
2024-01-12,S1,P1,S1_P1,11,4,False,74
2024-01-13,S1,P1,S1_P1,12,5,False,104
2024-01-14,S1,P1,S1_P1,13,6,False,171
2024-01-15,S1,P1,S1_P1,14,0,False,79
2024-01-16,S1,P1,S1_P1,15,1,False,100
2024-01-17,S1,P1,S1_P1,16,2,False,80
2024-01-18,S1,P1,S1_P1,17,3,False,218
2024-01-19,S1,P1,S1_P1,18,4,False,212
2024-01-20,S1,P1,S1_P1,19,5,False,145
2024-01-21,S1,P1,S1_P1,20,6,False,162
2024-01-22,S1,P1,S1_P1,21,0,False,133
2024-01-23,S1,P1,S1_P1,22,1,False,186
2024-01-24,S1,P1,S1_P1,23,2,False,85
2024-01-25,S1,P1,S1_P1,24,3,False,116
2024-01-26,S1,P1,S1_P1,25,4,False,132
2024-01-27,S1,P1,S1_P1,26,5,False,217
2024-01-28,S1,P1,S1_P1,27,6,False,155
2024-01-29,S1,P1,S1_P1,28,0,False,99
2024-01-30,S1,P1,S1_P1,29,1,False,58
2024-01-31,S1,P1,S1_P1,30,2,False,87
2024-02-01,S1,P1,S1_P1,31,3,False,91
2024-02-02,S1,P1,S1_P1,32,4,False,178
2024-02-03,S1,P1,S1_P1,33,5,False,116
2024-02-04,S1,P1,S1_P1,34,6,False,116
2024-02-05,S1,P1,S1_P1,35,0,False,126
2024-02-06,S1,P1,S1_P1,36,1,False,98
2024-02-07,S1,P1,S1_P1,37,2,False,121
2024-02-08,S1,P1,S1_P1,38,3,False,197
2024-02-09,S1,P1,S1_P1,39,4,False,107
2024-02-10,S1,P1,S1_P1,40,5,True,287
2024-02-11,S1,P1,S1_P1,41,6,False,109
2024-02-12,S1,P1,S1_P1,42,0,False,115
2024-02-13,S1,P1,S1_P1,43,1,False,70
2024-02-14,S1,P1,S1_P1,44,2,False,63
2024-02-15,S1,P1,S1_P1,45,3,False,133
2024-02-16,S1,P1,S1_P1,46,4,False,173
2024-02-17,S1,P1,S1_P1,47,5,True,163
2024-02-18,S1,P1,S1_P1,48,6,False,83
2024-02-19,S1,P1,S1_P1,49,0,False,64
2024-02-20,S1,P1,S1_P1,50,1,False,81
2024-02-21,S1,P1,S1_P1,51,2,False,245
2024-02-22,S1,P1,S1_P1,52,3,True,135
2024-02-23,S1,P1,S1_P1,53,4,True,282
2024-02-24,S1,P1,S1_P1,54,5,False,88
2024-02-25,S1,P1,S1_P1,55,6,False,204
2024-02-26,S1,P1,S1_P1,56,0,False,86
2024-02-27,S1,P1,S1_P1,57,1,False,158
2024-02-28,S1,P1,S1_P1,58,2,False,98
2024-02-29,S1,P1,S1_P1,59,3,False,224
2024-03-01,S1,P1,S1_P1,60,4,True,298
2024-03-02,S1,P1,S1_P1,61,5,False,211
2024-03-03,S1,P1,S1_P1,62,6,False,163
2024-03-04,S1,P1,S1_P1,63,0,False,71
2024-03-05,S1,P1,S1_P1,64,1,False,104
2024-03-06,S1,P1,S1_P1,65,2,False,149
2024-03-07,S1,P1,S1_P1,66,3,False,91
2024-03-08,S1,P1,S1_P1,67,4,False,93
2024-03-09,S1,P1,S1_P1,68,5,False,110
2024-03-10,S1,P1,S1_P1,69,6,True,276
2024-03-11,S1,P1,S1_P1,70,0,False,213
2024-03-12,S1,P1,S1_P1,71,1,False,97
2024-03-13,S1,P1,S1_P1,72,2,False,129
2024-03-14,S1,P1,S1_P1,73,3,True,152
2024-03-15,S1,P1,S1_P1,74,4,False,148
2024-03-16,S1,P1,S1_P1,75,5,False,87
2024-03-17,S1,P1,S1_P1,76,6,False,173
2024-03-18,S1,P1,S1_P1,77,0,False,130
2024-03-19,S1,P1,S1_P1,78,1,False,267
2024-03-20,S1,P1,S1_P1,79,2,False,167
2024-03-21,S1,P1,S1_P1,80,3,False,125
2024-03-22,S1,P1,S1_P1,81,4,False,203
2024-03-23,S1,P1,S1_P1,82,5,False,155
2024-03-24,S1,P1,S1_P1,83,6,False,134
2024-03-25,S1,P1,S1_P1,84,0,False,189
2024-03-26,S1,P1,S1_P1,85,1,False,46
2024-03-27,S1,P1,S1_P1,86,2,False,56
2024-03-28,S1,P1,S1_P1,87,3,True,203
2024-03-29,S1,P1,S1_P1,88,4,False,185
2024-03-30,S1,P1,S1_P1,89,5,False,176
2024-03-31,S1,P1,S1_P1,90,6,False,214
2024-04-01,S1,P1,S1_P1,91,0,False,115
2024-04-02,S1,P1,S1_P1,92,1,False,88
2024-04-03,S1,P1,S1_P1,93,2,False,155
2024-04-04,S1,P1,S1_P1,94,3,False,170
2024-04-05,S1,P1,S1_P1,95,4,False,136
2024-04-06,S1,P1,S1_P1,96,5,False,316
2024-04-07,S1,P1,S1_P1,97,6,False,162
2024-04-08,S1,P1,S1_P1,98,0,False,122
2024-04-09,S1,P1,S1_P1,99,1,False,137
2024-04-10,S1,P1,S1_P1,100,2,False,59
2024-04-11,S1,P1,S1_P1,101,3,False,72
2024-04-12,S1,P1,S1_P1,102,4,False,70
2024-04-13,S1,P1,S1_P1,103,5,False,134
2024-04-14,S1,P1,S1_P1,104,6,False,212
2024-04-15,S1,P1,S1_P1,105,0,True,292
2024-04-16,S1,P1,S1_P1,106,1,False,43
2024-04-17,S1,P1,S1_P1,107,2,False,83
2024-04-18,S1,P1,S1_P1,108,3,False,233
2024-04-19,S1,P1,S1_P1,109,4,False,284
2024-04-20,S1,P1,S1_P1,110,5,False,236
2024-04-21,S1,P1,S1_P1,111,6,False,325
2024-04-22,S1,P1,S1_P1,112,0,False,100
2024-04-23,S1,P1,S1_P1,113,1,False,82
2024-04-24,S1,P1,S1_P1,114,2,False,97
2024-04-25,S1,P1,S1_P1,115,3,False,138
2024-04-26,S1,P1,S1_P1,116,4,False,212
2024-04-27,S1,P1,S1_P1,117,5,False,217
2024-04-28,S1,P1,S1_P1,118,6,False,189
2024-04-29,S1,P1,S1_P1,119,0,False,125
2024-04-30,S1,P1,S1_P1,120,1,True,63
2024-05-01,S1,P1,S1_P1,121,2,False,119
2024-05-02,S1,P1,S1_P1,122,3,False,85
2024-05-03,S1,P1,S1_P1,123,4,False,89
2024-05-04,S1,P1,S1_P1,124,5,False,129
2024-05-05,S1,P1,S1_P1,125,6,False,216
2024-05-06,S1,P1,S1_P1,126,0,False,146
2024-05-07,S1,P1,S1_P1,127,1,False,117
2024-05-08,S1,P1,S1_P1,128,2,False,57
2024-05-09,S1,P1,S1_P1,129,3,False,109
2024-05-10,S1,P1,S1_P1,130,4,False,201
2024-05-11,S1,P1,S1_P1,131,5,False,219
2024-05-12,S1,P1,S1_P1,132,6,False,206
2024-05-13,S1,P1,S1_P1,133,0,False,85
2024-05-14,S1,P1,S1_P1,134,1,False,88
2024-05-15,S1,P1,S1_P1,135,2,False,128
2024-05-16,S1,P1,S1_P1,136,3,False,197
2024-05-17,S1,P1,S1_P1,137,4,False,112
2024-05-18,S1,P1,S1_P1,138,5,False,195
2024-05-19,S1,P1,S1_P1,139,6,False,232
2024-05-20,S1,P1,S1_P1,140,0,False,85
2024-05-21,S1,P1,S1_P1,141,1,False,101
2024-05-22,S1,P1,S1_P1,142,2,True,100
2024-05-23,S1,P1,S1_P1,143,3,False,77
2024-05-24,S1,P1,S1_P1,144,4,False,62
